0,5000,1000,0,0,0
1,4949,941,44,6,1
2,4904,884,78,16,2
3,4861,828,110,25,4
4,4824,775,135,33,8
5,4797,737,153,40,10
6,4760,680,172,56,12
7,4739,642,181,63,17
8,4697,588,216,65,22
9,4673,552,229,75,23
10,4648,515,245,81,26
11,4623,476,258,91,28
12,4595,430,272,101,32
13,4572,393,287,103,38
13.29,4567,383,288,106,39
