time X A B A2 B2
23.1 1 8 12 3 0
23.2 1 8 10 3 1
23.3 1 8 8 3 2
23.4 1 8 8 3 2
23.5 1 8 8 3 2
23.6 1 8 8 3 2
23.7 1 8 8 3 2
23.8 1 8 8 3 2
23.9 1 8 8 3 2
24 1 10 8 2 2
24.1 1 8 6 3 3
24.2 1 8 6 3 3
24.3 1 8 6 3 3
24.4 1 8 4 3 4
24.5 1 8 4 3 4
24.6 1 8 4 3 4
24.7 1 10 4 2 4
24.8 1 8 3 3 4
24.9 1 8 3 3 4
25 1 8 3 3 4
25.1 1 8 3 3 4
25.2 1 6 3 4 4
25.3 1 6 3 4 4
25.4 1 6 9 4 1
25.5 1 6 7 4 2
25.6 1 5 7 4 2
25.7 1 5 7 4 2
25.8 1 5 7 4 2
25.9 1 5 5 4 3
26 1 5 7 4 2
26.1 1 5 3 4 4
26.2 1 5 3 4 4
26.3 1 7 5 3 3
26.4 1 5 5 4 3
26.5 1 8 6 3 3
26.6 1 8 10 3 1
26.7 1 9 11 3 1
26.8 1 7 11 4 1
26.9 1 7 11 4 1
27 1 11 11 2 1
27.1 1 11 9 2 2
27.2 1 11 7 2 3
27.3 1 11 7 2 3
27.4 1 13 8 1 2
27.5 1 13 10 1 1
27.6 1 13 8 1 2
27.7 1 13 8 1 2
27.8 1 11 8 2 2
27.9 1 9 8 3 2
28 1 11 8 2 2
28.1 1 11 8 2 2
28.2 1 12 8 1 2
28.3 1 12 10 1 1
28.4 1 12 10 1 1
28.5 1 12 10 1 1
28.6 1 10 10 2 1
28.7 1 10 8 2 2
28.8 1 10 8 2 2
28.9 1 10 8 2 2
29 1 10 10 2 1
29.1 1 10 10 2 1
29.2 1 8 12 3 0
29.3 1 8 12 3 0
29.4 1 10 12 2 0
29.5 1 10 12 2 0
29.6 1 6 10 4 1
29.7 1 6 10 4 1
29.8 1 8 10 3 1
29.9 1 8 12 3 0
30 1 8 10 3 1
30.1 1 8 10 3 1
30.2 1 8 10 3 1
30.3 1 8 8 3 2
30.4 1 7 9 4 2
30.5 1 6 8 4 2
30.6 1 11 9 2 2
30.7 1 11 9 2 2
30.8 1 13 9 1 2
30.9 1 12 9 1 2
31 1 12 11 1 1
31.1 1 12 11 1 1
31.2 1 12 11 1 1
31.3 1 10 11 2 1
31.4 1 13 8 1 3
31.5 1 13 6 1 4
31.6 1 12 6 1 4
31.7 1 12 6 1 4
31.8 1 12 6 1 4
31.9 1 12 6 1 4
32 1 12 6 1 4
32.1 1 12 6 1 4
32.2 1 12 8 1 3
32.3 1 12 6 1 4
32.4 1 12 8 1 3
32.5 1 12 8 1 3
32.6 1 12 8 1 3
32.7 1 10 10 2 2
32.8 1 12 10 1 2
32.9 1 12 12 1 1
33 1 9 13 3 1
33.1 1 9 13 3 1
33.2 1 9 11 3 2
33.3 1 10 9 2 3
33.4 1 12 11 2 3
33.5 1 12 9 2 4
33.6 1 12 9 2 4
33.7 1 14 11 1 3
33.8 1 12 11 2 3
33.9 1 12 13 2 2
34 1 12 13 2 2
34.1 1 12 13 2 2
34.2 1 12 11 2 3
34.3 1 12 9 2 4
34.4 1 12 9 2 4
34.5 1 9 9 3 4
34.6 1 11 9 2 4
34.7 1 11 11 2 3
34.8 1 11 9 2 4
34.9 1 11 7 2 5
35 1 11 9 2 4
35.1 1 11 7 2 5
35.2 1 11 11 2 3
35.3 1 11 13 2 2
35.4 1 13 13 1 2
35.5 1 11 12 2 2
35.6 1 9 14 3 1
35.7 1 11 13 2 1
35.8 1 11 13 2 1
35.9 1 13 11 1 2
36 1 13 11 1 2
36.1 1 13 13 1 1
36.2 1 12 11 1 2
36.3 1 11 8 1 3
36.4 1 11 8 1 3
36.5 1 11 8 1 3
36.6 1 11 6 1 4
36.7 1 11 6 1 4
36.8 1 11 6 1 4
36.9 1 11 6 1 4
37 1 11 6 1 4
37.1 1 11 6 1 4
37.2 1 12 7 1 4
37.3 1 12 7 1 4
37.4 1 12 7 1 4
37.5 1 12 9 1 3
37.6 1 10 9 2 3
37.7 1 7 9 3 3
37.8 1 9 9 2 3
37.9 1 7 11 3 2
38 1 7 11 3 2
38.1 1 7 13 3 1
38.2 1 7 11 3 2
38.3 1 7 11 3 2
38.4 1 7 11 3 2
38.5 1 7 11 3 2
38.6 1 8 11 3 2
38.7 1 8 13 3 1
38.8 1 10 13 2 1
38.9 1 8 13 3 1
39 1 8 13 3 1
39.1 1 8 13 3 1
39.2 1 10 13 2 1
39.3 1 10 11 2 2
39.4 1 10 10 2 2
39.5 1 10 12 2 1
39.6 1 10 10 2 2
39.7 1 9 10 2 2
39.8 1 9 10 2 2
39.9 1 10 10 2 2
40 1 12 10 1 2
40.1 1 13 10 1 3
40.2 1 11 10 2 3
40.3 1 11 12 2 2
40.4 1 13 10 1 3
40.5 1 11 10 2 3
40.6 1 11 10 2 3
40.7 1 11 12 2 2
40.8 1 11 11 2 2
40.9 1 11 11 2 2
41 1 11 9 2 3
41.1 1 11 9 2 3
41.2 1 10 11 2 2
41.3 1 10 7 2 4
41.4 1 10 9 2 3
41.5 1 11 9 2 3
41.6 1 11 9 2 3
41.7 1 11 9 2 3
41.8 1 11 9 2 3
41.9 1 12 10 2 3
42 1 10 10 3 3
42.1 1 10 9 3 3
42.2 1 10 11 3 2
42.3 1 10 11 3 2
42.4 1 10 11 3 2
42.5 1 11 10 3 3
42.6 1 9 10 3 3
42.7 1 9 10 3 3
42.8 1 9 10 3 3
42.9 1 8 11 4 3
43 1 8 13 4 2
43.1 1 8 13 4 2
43.2 1 10 13 3 2
43.3 1 10 13 3 2
43.4 1 10 12 3 2
43.5 1 12 10 2 3
43.6 1 10 11 3 2
43.7 1 10 8 3 3
43.8 1 9 9 4 3
43.9 1 9 9 4 3
44 1 11 8 3 3
44.1 1 11 8 3 3
44.2 1 13 8 2 3
44.3 1 13 8 2 3
44.4 1 13 8 2 3
44.5 1 13 8 2 3
44.6 1 13 10 2 2
44.7 1 13 10 2 2
44.8 1 15 10 1 2
44.9 1 15 10 1 2
45 1 15 10 1 2
45.1 1 13 10 2 2
45.2 1 15 10 1 2
45.3 1 15 10 1 2
45.4 1 13 10 2 2
45.5 1 13 8 2 3
45.6 1 13 10 2 2
45.7 1 13 10 2 2
45.8 1 11 10 3 2
45.9 1 11 8 3 3
46 1 11 8 3 3
46.1 1 12 11 3 2
46.2 1 12 9 3 3
46.3 1 12 9 3 3
46.4 1 14 9 2 3
46.5 1 12 9 3 3
46.6 1 12 9 3 3
46.7 1 14 9 2 3
46.8 1 12 4 3 5
46.9 1 10 3 4 5
47 1 10 3 4 5
47.1 1 10 3 4 5
47.2 1 10 5 4 4
47.3 1 10 3 4 5
47.4 1 10 3 4 5
47.5 1 10 3 4 5
47.6 1 8 3 5 5
47.7 1 7 3 5 5
47.8 1 8 6 5 4
47.9 1 7 5 6 5
48 1 9 3 5 6
48.1 1 9 3 5 6
48.2 1 9 2 5 6
48.3 1 9 2 5 6
48.4 1 9 2 5 6
48.5 1 9 2 5 6
48.6 1 11 2 4 6
48.7 1 10 2 4 6
48.8 1 10 2 4 6
48.9 1 10 3 4 5
49 1 10 3 4 5
49.1 1 10 3 4 5
49.2 1 12 3 3 5
49.3 1 12 3 3 5
49.4 1 12 5 3 4
49.5 1 10 5 4 4
49.6 1 12 7 3 3
49.7 1 12 7 3 3
49.8 1 10 9 4 2
49.9 1 12 7 3 3
50 1 12 7 3 3
50.1 1 13 7 2 3
50.2 1 11 7 3 3
50.3 1 11 7 3 3
50.4 1 7 7 5 3
50.5 1 8 9 4 2
50.6 1 8 9 4 2
50.7 1 10 9 3 2
50.8 1 10 9 3 2
50.9 1 10 9 3 2
51 1 11 7 2 3
51.1 1 11 5 2 4
51.2 1 10 5 2 4
51.3 1 10 5 2 4
51.4 1 7 7 3 3
51.5 1 7 7 3 3
51.6 1 7 7 3 3
51.7 1 6 10 4 2
51.8 1 7 10 4 2
51.9 1 7 10 4 2
52 1 9 10 3 2
52.1 1 9 10 3 2
52.2 1 11 10 2 2
52.3 1 11 8 2 3
52.4 1 11 8 2 3
52.5 1 9 6 3 4
52.6 1 9 9 3 2
52.7 1 8 12 4 1
52.8 1 6 10 5 2
52.9 1 6 8 5 3
53 1 5 8 5 3
53.1 1 5 8 5 3
53.2 1 5 6 5 4
53.3 1 5 6 5 4
53.4 1 7 4 4 5
53.5 1 9 4 3 5
53.6 1 9 4 3 5
53.7 1 9 4 3 5
53.8 1 9 2 3 6
53.9 1 11 2 2 6
54 1 11 6 2 4
54.1 1 9 4 3 5
54.2 1 9 4 3 5
54.3 1 9 6 3 4
54.4 1 11 6 2 4
54.5 1 12 7 2 4
54.6 1 10 7 3 4
54.7 1 8 5 4 5
54.8 1 8 7 4 4
54.9 1 8 7 4 4
55 1 8 7 4 4
55.1 1 8 9 4 3
55.2 1 8 9 4 3
55.3 1 8 9 4 3
55.4 1 8 9 4 3
55.5 1 11 12 3 2
55.6 1 11 12 3 2
55.7 1 11 12 3 2
55.8 1 11 12 3 2
55.9 1 11 12 3 2
56 1 11 12 3 2
56.1 1 9 10 4 3
56.2 1 9 7 4 4
56.3 1 9 7 4 4
56.4 1 9 7 4 4
56.5 1 9 9 4 3
56.6 1 9 11 4 2
56.7 1 5 8 6 3
56.8 1 7 8 5 3
56.9 1 7 8 5 3
57 1 9 8 4 3
57.1 1 11 8 3 3
57.2 1 9 8 4 3
57.3 1 9 11 4 2
57.4 1 10 12 4 2
57.5 1 10 12 4 2
57.6 1 10 12 4 2
57.7 1 10 12 4 2
57.8 1 10 12 4 2
57.9 1 11 13 4 2
58 1 10 13 4 2
58.1 1 10 13 4 2
58.2 1 9 11 4 3
58.3 1 11 11 3 3
58.4 1 11 11 3 3
58.5 1 9 11 4 3
58.6 1 9 9 4 4
58.7 1 9 9 4 4
58.8 1 11 9 3 4
58.9 1 11 9 3 4
59 1 11 9 3 4
59.1 1 12 10 3 4
59.2 1 12 8 3 4
59.3 1 10 8 3 4
59.4 1 10 10 3 3
59.5 1 8 10 4 3
59.6 1 10 9 3 3
59.7 1 12 9 2 3
59.8 1 10 9 3 3
59.9 1 9 8 3 3
60 1 8 9 4 3
60.1 1 7 11 4 2
60.2 1 9 9 3 3
60.3 1 11 7 2 4
60.4 1 9 7 3 4
60.5 1 11 7 2 4
60.6 1 11 7 2 4
60.7 1 11 9 2 3
60.8 1 13 9 1 3
60.9 1 13 9 1 3
61 1 13 13 1 1
61.1 1 11 13 2 1
61.2 1 11 13 2 1
61.3 1 12 12 2 2
61.4 1 13 14 1 1
61.5 1 13 12 1 2
61.6 1 11 12 2 2
61.7 1 11 12 2 2
61.8 1 11 12 2 2
61.9 1 11 12 2 2
62 1 11 14 2 1
62.1 1 11 12 2 2
62.2 1 13 12 1 2
62.3 1 13 12 1 2
62.4 1 11 12 2 2
62.5 1 11 10 2 3
62.6 1 11 12 2 2
62.7 1 11 12 2 2
62.8 1 9 12 3 2
62.9 1 8 12 3 2
63 1 8 8 3 4
63.1 1 8 8 3 4
63.2 1 8 8 3 4
63.3 1 8 10 3 3
63.4 1 8 10 3 3
63.5 1 8 10 3 3
63.6 1 9 11 3 3
63.7 1 9 10 3 3
63.8 1 9 10 3 3
63.9 1 10 8 2 4
64 1 8 7 3 4
64.1 1 10 9 2 3
64.2 1 10 7 2 4
64.3 1 8 5 3 5
64.4 1 10 5 2 5
